term,translation,domain,case_sensitive
Publishing house,প্রকাশনা সংস্থা,academic,False
Academic year,শিক্ষাবর্ষ,academic,False
Semester final,সেমিস্টার ফাইনাল,academic,False
Tutorial,টিউটোরিয়াল,academic,False
Assignment,অ্যাসাইনমেন্ট,academic,False
Presentation,উপস্থাপনা,academic,False
Workshop,কর্মশালা,academic,False
Seminar,সেমিনার,academic,False
Symposium,সিম্পোজিয়াম,academic,False
Keynote speaker,মূল বক্তা,academic,False
Panel discussion,প্যানেল আলোচনা,academic,False
Roundtable,গোলটেবিল বৈঠক,academic,False
Academic calendar,শিক্ষাপঞ্জি,academic,False
Notice board,নোটিশ বোর্ড,academic,False
Registrar,রেজিস্ট্রার,academic,False
Proctor,প্রক্টর,academic,False
Librarian,গ্রন্থাগারিক,academic,False
Library catalog,গ্রন্থাগার ক্যাটালগ,academic,False
Online database,অনলাইন তথ্যভাণ্ডার,academic,False
Institutional repository,প্রাতিষ্ঠানিক ভাণ্ডার,academic,False
Course outline,কোর্স রূপরেখা,academic,False
Grading policy,গ্রেডিং নীতিমালা,academic,False
Academic probation,একাডেমিক পর্যবেক্ষণ,academic,False
Dean's list,ডিনস লিস্ট,academic,False
Honors degree,সম্মান ডিগ্রি,academic,False
Pass course,পাস কোর্স,academic,False
Elective course,ঐচ্ছিক কোর্স,academic,False
Core course,আবশ্যিক কোর্স,academic,False
Prerequisite,পূর্বশর্ত,academic,False
Tuition fee,টিউশন ফি,academic,False
Waiver,মওকুফ,academic,False
Financial aid,আর্থিক সহায়তা,academic,False
Student union,ছাত্র সংসদ,academic,False
Dormitory,ছাত্রাবাস,academic,False
Hostel,হোস্টেল,academic,False
Campus,ক্যাম্পাস,academic,False
Auditorium,মিলনায়তন,academic,False
Laboratory,পরীক্ষাগার,academic,False
Fieldwork,মাঠপর্যায়ের কাজ,academic,False
Internship,ইন্টার্নশিপ,academic,False
Practicum,ব্যবহারিক প্রশিক্ষণ,academic,False
Co-curricular activities,সহ-শিক্ষা কার্যক্রম,academic,False
Extracurricular activities,পাঠ্যক্রম বহির্ভূত কার্যক্রম,academic,False
